SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
117562.2656,3355,114395.625,Jul,2014,Saturday,35.04091375,-3166.640625,,,
70153.07813,2002,68252.24219,Jul,2014,Sunday,35.04149756,-1900.835938,,,
68918.41406,1967,66990.88281,Jul,2014,Monday,35.03732286,-1927.53125,,,
108417.4063,3094,105373.2969,Jul,2014,Tuesday,35.04117849,-3044.109375,,,
81802.60938,2335,79496.49219,Jul,2014,Wednesday,35.03323742,-2306.117188,,,
103998.5625,2968,101270.9688,Jul,2014,Thursday,35.03994693,-2727.59375,,,
134018.0938,3825,130633.2656,Jul,2014,Friday,35.03741013,-3384.828125,,,
99277.29688,2833,96688.5,Jul,2014,Saturday,35.04316868,-2588.796875,,,
49705.23047,1419,48370.30859,Jul,2014,Sunday,35.02835128,-1334.921875,,,
75384.57813,2151,73393.44531,Jul,2014,Monday,35.04629387,-1991.132813,,,
110288.2344,3148,107437.3828,Jul,2014,Tuesday,35.03438195,-2850.851563,,,
156536.6875,4825,164641.3594,Jul,2014,Wednesday,32.44283679,8104.671875,,,
80823.0625,2307,78844.85938,Jul,2014,Thursday,35.03383723,-1978.203125,,,
124615.6875,3557,121612.1797,Jul,2014,Friday,35.03392958,-3003.507813,,,
242758.9531,7485,255779.8594,Jul,2014,Saturday,32.43272587,13020.90625,,,
85078.24219,2428,83020.51563,Jul,2014,Sunday,35.04046219,-2057.726563,,,
86738.07031,2475,84643.27344,Jul,2014,Monday,35.04568497,-2094.796875,,,
56673.61719,1618,55278.70703,Jul,2014,Tuesday,35.02695747,-1394.910156,,,
165742.1719,5106,173725.3594,Jul,2014,Wednesday,32.46027651,7983.1875,,,
95618.25,2729,92416.90625,Jul,2014,Thursday,35.03783437,-3201.34375,,,
515698.7813,15897,538260.25,Jul,2014,Friday,32.44000637,22561.46875,,,
562590.375,17343,586670.5,Jul,2014,Saturday,32.43904601,24080.125,,,
266305.9375,8207,277238,Jul,2014,Sunday,32.44863379,10932.0625,,,
292634.75,9018,304508.375,Jul,2014,Monday,32.45007208,11873.625,,,
212361,6548,221017.0781,Jul,2014,Tuesday,32.43142944,8656.078125,,,
198019.3281,6102,205903.8281,Jul,2014,Wednesday,32.45154509,7884.5,,,
295508.3125,9108,307222.4063,Jul,2014,Thursday,32.44491793,11714.09375,,,
611894.6875,18867,636341.3125,Aug,2014,Friday,32.43200761,24446.625,,,
628685.25,19384,653779.9375,Aug,2014,Saturday,32.43320522,25094.6875,,,
307272.6875,9473,319500,Aug,2014,Sunday,32.43668189,12227.3125,,,
362106.5313,11170,376645.75,Aug,2014,Monday,32.41777361,14539.21875,,,
262349.5938,8091,272809.2813,Aug,2014,Tuesday,32.42486636,10459.6875,,,
80697.90625,2303,77649.63281,Aug,2014,Wednesday,35.0403414,-3048.273438,,,
103272.625,2947,99367.23438,Aug,2014,Thursday,35.04330675,-3905.390625,,,
439421.4375,13542,456509.625,Aug,2014,Friday,32.44878434,17088.1875,,,
408616.3438,12588,424340.9375,Aug,2014,Saturday,32.46078358,15724.59375,,,
195866.7656,6032,203331.4375,Aug,2014,Sunday,32.47128077,7464.671875,,,
232347.3594,7158,241134.5313,Aug,2014,Monday,32.4598155,8787.171875,,,
190325.1875,5863,197438.1094,Aug,2014,Tuesday,32.46208213,7112.921875,,,
197698.125,6092,205114.125,Aug,2014,Wednesday,32.4520888,7416,,,
177908.8281,5485,184687.5313,Aug,2014,Thursday,32.43552017,6778.703125,,,
473321.875,14587,491559.4375,Aug,2014,Friday,32.44819874,18237.5625,,,
541600.875,16686,562953.375,Aug,2014,Saturday,32.45840076,21352.5,,,
239513.9844,7380,249203.125,Aug,2014,Sunday,32.45446943,9689.140625,,,
255224.2188,7864,265532.5313,Aug,2014,Monday,32.45475823,10308.3125,,,
160372.0469,4941,167021.1563,Aug,2014,Tuesday,32.45740677,6649.109375,,,
171587.3281,5151,174723.1719,Aug,2014,Wednesday,33.31145955,3135.84375,,,
164208.0625,4928,167239.6563,Aug,2014,Thursday,33.32144125,3031.59375,,,
376778.8438,11309,384006.0313,Aug,2014,Friday,33.31672506,7227.1875,,,
453633.4688,13613,463250.0625,Aug,2014,Saturday,33.32354872,9616.59375,,,
214392.4063,6424,218347.7969,Aug,2014,Sunday,33.37366224,3955.390625,,,
